Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
Czechia 2020-01-22 580 17 Italy 2020-01-22 580 17
Czechia 2020-01-23 845 25 Italy 2020-01-23 845 25
Czechia 2020-01-24 1317 41 Italy 2020-01-24 1317 41
Czechia 2020-01-25 2015 56 Italy 2020-01-25 2015 56
Czechia 2020-01-26 2800 80 Italy 2020-01-26 2800 80
Czechia 2020-01-27 4581 106 Italy 2020-01-27 4581 106
Czechia 2020-01-28 6058 132 Italy 2020-01-28 6058 132
Czechia 2020-01-29 7813 170 Italy 2020-01-29 7813 170
Czechia 2020-01-30 9823 213 Italy 2020-01-30 9823 213
Czechia 2020-01-31 11950 259 Italy 2020-01-31 11958 259
Czechia 2020-02-01 14553 304 Italy 2020-02-01 14581 304
Czechia 2020-02-02 17391 362 Italy 2020-02-02 17433 362
Czechia 2020-02-03 20630 426 Italy 2020-02-03 20691 426
Czechia 2020-02-04 24545 492 Italy 2020-02-04 24619 492
Czechia 2020-02-05 28266 565 Italy 2020-02-05 28355 565
Czechia 2020-02-06 31439 638 Italy 2020-02-06 31538 638
Czechia 2020-02-07 34876 724 Italy 2020-02-07 34991 724
Czechia 2020-02-08 37552 813 Italy 2020-02-08 37676 813
Czechia 2020-02-09 40553 910 Italy 2020-02-09 40681 910
Czechia 2020-02-10 43099 1018 Italy 2020-02-10 43251 1018
Czechia 2020-02-11 45134 1115 Italy 2020-02-11 45302 1115
Czechia 2020-02-12 59287 1261 Italy 2020-02-12 59478 1261
Czechia 2020-02-13 64438 1383 Italy 2020-02-13 64663 1383
Czechia 2020-02-14 67100 1526 Italy 2020-02-14 67346 1526
Czechia 2020-02-15 69197 1669 Italy 2020-02-15 69479 1669
Czechia 2020-02-16 71329 1775 Italy 2020-02-16 71636 1775
Czechia 2020-02-17 73332 1873 Italy 2020-02-17 73675 1873
Czechia 2020-02-18 75184 2009 Italy 2020-02-18 75555 2009
Czechia 2020-02-19 75700 2126 Italy 2020-02-19 76093 2126
Czechia 2020-02-20 76677 2247 Italy 2020-02-20 77132 2247
Czechia 2020-02-21 77673 2360 Italy 2020-02-21 78191 2360
Czechia 2020-02-22 78651 2460 Italy 2020-02-22 79228 2460
Czechia 2020-02-23 79205 2618 Italy 2020-02-23 79855 2618
Czechia 2020-02-24 80087 2699 Italy 2020-02-24 80854 2699
Czechia 2020-02-25 80828 2763 Italy 2020-02-25 81729 2763
Czechia 2020-02-26 81820 2800 Italy 2020-02-26 82884 2800
Czechia 2020-02-27 83112 2858 Italy 2020-02-27 84356 2858
Czechia 2020-02-28 84615 2923 Italy 2020-02-28 86191 2923
Czechia 2020-02-29 86604 2977 Italy 2020-02-29 88409 2977
Czechia 2020-03-01 88585 3050 Italy 2020-03-01 91071 3050
