Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
Germany 2020-01-22 580 17 Italy 2020-01-22 580 17
Germany 2020-01-23 845 25 Italy 2020-01-23 845 25
Germany 2020-01-24 1317 41 Italy 2020-01-24 1317 41
Germany 2020-01-25 2015 56 Italy 2020-01-25 2015 56
Germany 2020-01-26 2800 80 Italy 2020-01-26 2800 80
Germany 2020-01-27 4581 106 Italy 2020-01-27 4581 106
Germany 2020-01-28 6058 132 Italy 2020-01-28 6058 132
Germany 2020-01-29 7813 170 Italy 2020-01-29 7813 170
Germany 2020-01-30 9823 213 Italy 2020-01-30 9823 213
Germany 2020-01-31 11950 259 Italy 2020-01-31 11950 259
Germany 2020-02-01 14553 304 Italy 2020-02-01 14553 304
Germany 2020-02-02 17391 362 Italy 2020-02-02 17391 362
Germany 2020-02-03 20630 426 Italy 2020-02-03 20630 426
Germany 2020-02-04 24545 492 Italy 2020-02-04 24545 492
Germany 2020-02-05 28266 565 Italy 2020-02-05 28266 565
Germany 2020-02-06 31439 638 Italy 2020-02-06 31439 638
Germany 2020-02-07 34876 724 Italy 2020-02-07 34876 724
Germany 2020-02-08 37552 813 Italy 2020-02-08 37552 813
Germany 2020-02-09 40553 910 Italy 2020-02-09 40553 910
Germany 2020-02-10 43099 1018 Italy 2020-02-10 43099 1018
Germany 2020-02-11 45134 1115 Italy 2020-02-11 45134 1115
Germany 2020-02-12 59287 1261 Italy 2020-02-12 59287 1261
Germany 2020-02-13 64438 1383 Italy 2020-02-13 64438 1383
Germany 2020-02-14 67100 1526 Italy 2020-02-14 67100 1526
Germany 2020-02-15 69197 1669 Italy 2020-02-15 69197 1669
Germany 2020-02-16 71329 1775 Italy 2020-02-16 71329 1775
Germany 2020-02-17 73332 1873 Italy 2020-02-17 73332 1873
Germany 2020-02-18 75184 2009 Italy 2020-02-18 75184 2009
Germany 2020-02-19 75700 2126 Italy 2020-02-19 75700 2126
Germany 2020-02-20 76677 2247 Italy 2020-02-20 76677 2247
Germany 2020-02-21 77673 2360 Italy 2020-02-21 77673 2360
Germany 2020-02-22 78651 2460 Italy 2020-02-22 78651 2460
Germany 2020-02-23 79205 2618 Italy 2020-02-23 79205 2618
Germany 2020-02-24 80087 2699 Italy 2020-02-24 80087 2699
Germany 2020-02-25 80828 2763 Italy 2020-02-25 80828 2763
Germany 2020-02-26 81820 2800 Italy 2020-02-26 81820 2800
Germany 2020-02-27 83112 2858 Italy 2020-02-27 83112 2858
Germany 2020-02-28 84615 2923 Italy 2020-02-28 84615 2923
Germany 2020-02-29 86604 2977 Italy 2020-02-29 86604 2977
Germany 2020-03-01 88585 3050 Italy 2020-03-01 88585 3050
Germany 2020-03-02 90443 3117 Italy 2020-03-02 90443 3117
Germany 2020-03-03 93016 3202 Italy 2020-03-03 93016 3202
Germany 2020-03-04 95314 3285 Italy 2020-03-04 95314 3285
Germany 2020-03-05 98425 3387 Italy 2020-03-05 98425 3387
Germany 2020-03-06 102050 3493 Italy 2020-03-06 102050 3493
Germany 2020-03-07 106099 3598 Italy 2020-03-07 106099 3598
Germany 2020-03-08 109991 3826 Italy 2020-03-08 109991 3826
Germany 2020-03-09 114382 4023 Italy 2020-03-09 114382 4023
Germany 2020-03-10 118950 4297 Italy 2020-03-10 118950 4297
Germany 2020-03-11 126215 4627 Italy 2020-03-11 126215 4627
Germany 2020-03-12 134510 4980 Italy 2020-03-12 134510 4980
Germany 2020-03-13 145417 5427 Italy 2020-03-13 145417 5427
Germany 2020-03-14 156477 5841 Italy 2020-03-14 156477 5841
Germany 2020-03-15 169516 6532 Italy 2020-03-15 169516 6532
Germany 2020-03-16 182440 7180 Italy 2020-03-16 182440 7180
Germany 2020-03-17 198171 8000 Italy 2020-03-17 198171 8000
Germany 2020-03-18 218863 8983 Italy 2020-03-18 218863 8983
Germany 2020-03-19 245019 10077 Italy 2020-03-19 245019 10077
Germany 2020-03-20 275733 11457 Italy 2020-03-20 275733 11457
