Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
UK 2020-02-15 9 NA Italy 2020-01-30 NA NA
UK 2020-02-16 9 NA Italy 2020-01-31 NA NA
UK 2020-02-17 9 NA Italy 2020-02-01 NA NA
UK 2020-02-18 9 NA Italy 2020-02-02 NA NA
UK 2020-02-19 9 NA Italy 2020-02-03 NA NA
UK 2020-02-20 9 NA Italy 2020-02-04 NA NA
UK 2020-02-21 9 NA Italy 2020-02-05 NA NA
UK 2020-02-22 9 NA Italy 2020-02-06 NA NA
UK 2020-02-23 13 NA Italy 2020-02-07 NA NA
UK 2020-02-24 13 NA Italy 2020-02-08 NA NA
UK 2020-02-25 13 NA Italy 2020-02-09 NA NA
UK 2020-02-26 13 NA Italy 2020-02-10 NA NA
UK 2020-02-27 16 NA Italy 2020-02-11 NA NA
UK 2020-02-28 20 NA Italy 2020-02-12 NA NA
UK 2020-02-29 23 NA Italy 2020-02-13 NA NA
UK 2020-03-01 36 NA Italy 2020-02-14 NA NA
UK 2020-03-02 39 NA Italy 2020-02-15 3 NA
UK 2020-03-03 51 NA Italy 2020-02-16 3 NA
UK 2020-03-04 87 NA Italy 2020-02-17 3 NA
UK 2020-03-05 116 1 Italy 2020-02-18 3 NA
UK 2020-03-06 164 2 Italy 2020-02-19 3 NA
UK 2020-03-07 209 2 Italy 2020-02-20 4 NA
UK 2020-03-08 278 3 Italy 2020-02-21 21 1
UK 2020-03-09 321 5 Italy 2020-02-22 79 2
UK 2020-03-10 383 6 Italy 2020-02-23 157 3
UK 2020-03-11 460 8 Italy 2020-02-24 229 7
UK 2020-03-12 590 10 Italy 2020-02-25 323 11
UK 2020-03-13 798 11 Italy 2020-02-26 470 12
UK 2020-03-14 1140 21 Italy 2020-02-27 655 17
UK 2020-03-15 1391 35 Italy 2020-02-28 889 21
UK 2020-03-16 1543 55 Italy 2020-02-29 1128 29
UK 2020-03-17 1950 71 Italy 2020-03-01 1701 41
UK 2020-03-18 2626 104 Italy 2020-03-02 2036 52
UK 2020-03-19 3269 144 Italy 2020-03-03 2502 79
UK 2020-03-20 3983 177 Italy 2020-03-04 3089 107
UK 2020-03-21 5018 233 Italy 2020-03-05 3858 148
UK 2020-03-22 5683 281 Italy 2020-03-06 4636 197
UK 2020-03-23 6650 335 Italy 2020-03-07 5883 233
UK 2020-03-24 8077 422 Italy 2020-03-08 7375 366
UK 2020-03-25 9529 463 Italy 2020-03-09 9172 463
UK 2020-03-26 11658 578 Italy 2020-03-10 10149 631
UK 2020-03-27 14543 759 Italy 2020-03-11 12462 827
UK 2020-03-28 17089 1019 Italy 2020-03-12 15113 1016
UK 2020-03-29 19522 1228 Italy 2020-03-13 17660 1266
UK 2020-03-30 22141 1408 Italy 2020-03-14 21157 1441
UK 2020-03-31 25150 1789 Italy 2020-03-15 24747 1809
UK 2020-04-01 29474 2352 Italy 2020-03-16 27980 2158
UK 2020-04-02 33718 2921 Italy 2020-03-17 31506 2503
UK 2020-04-03 38168 3605 Italy 2020-03-18 35713 2978
UK 2020-04-04 41903 4313 Italy 2020-03-19 41035 3405
UK 2020-04-05 47806 4934 Italy 2020-03-20 47021 4032
UK 2020-04-06 51608 5373 Italy 2020-03-21 53578 4825
UK 2020-04-07 55242 6159 Italy 2020-03-22 59138 5476
UK 2020-04-08 60733 7097 Italy 2020-03-23 63927 6077
UK 2020-04-09 65077 7978 Italy 2020-03-24 69176 6820
UK 2020-04-10 73758 8958 Italy 2020-03-25 74386 7503
UK 2020-04-11 78991 9875 Italy 2020-03-26 80589 8215
UK 2020-04-12 84279 10612 Italy 2020-03-27 86498 9134
UK 2020-04-13 88621 11329 Italy 2020-03-28 92472 10023
UK 2020-04-14 93873 12107 Italy 2020-03-29 97689 10779
UK 2020-04-15 98476 12868 Italy 2020-03-30 101739 11591
UK 2020-04-16 103093 13729 Italy 2020-03-31 105792 12428
UK 2020-04-17 108692 14576 Italy 2020-04-01 110574 13155
UK 2020-04-18 114217 15464 Italy 2020-04-02 115242 13915
UK 2020-04-19 120067 16060 Italy 2020-04-03 119827 14681
UK 2020-04-20 124743 16509 Italy 2020-04-04 124632 15362
UK 2020-04-21 129044 17337 Italy 2020-04-05 128948 15887
UK 2020-04-22 133495 18100 Italy 2020-04-06 132547 16523
UK 2020-04-23 138078 18738 Italy 2020-04-07 135586 17127
UK 2020-04-24 NA NA Italy 2020-04-08 139422 17669
UK 2020-04-25 NA NA Italy 2020-04-09 143626 18279
UK 2020-04-26 NA NA Italy 2020-04-10 147577 18849
UK 2020-04-27 NA NA Italy 2020-04-11 152271 19468
UK 2020-04-28 NA NA Italy 2020-04-12 156363 19899
UK 2020-04-29 NA NA Italy 2020-04-13 159516 20465
UK 2020-04-30 NA NA Italy 2020-04-14 162488 21067
UK 2020-05-01 NA NA Italy 2020-04-15 165155 21645
UK 2020-05-02 NA NA Italy 2020-04-16 168941 22170
UK 2020-05-03 NA NA Italy 2020-04-17 172434 22745
UK 2020-05-04 NA NA Italy 2020-04-18 175925 23227
UK 2020-05-05 NA NA Italy 2020-04-19 178972 23660
UK 2020-05-06 NA NA Italy 2020-04-20 181228 24114
UK 2020-05-07 NA NA Italy 2020-04-21 183957 24648
UK 2020-05-08 NA NA Italy 2020-04-22 187327 25085
UK 2020-05-09 NA NA Italy 2020-04-23 189973 25549
