Country Date Cases Deaths Country0 Date0 Cases0 Deaths0
USA 2020-02-15 15 0 Italy 2020-02-09 NA NA
USA 2020-02-16 15 0 Italy 2020-02-10 NA NA
USA 2020-02-17 15 0 Italy 2020-02-11 NA NA
USA 2020-02-18 15 0 Italy 2020-02-12 NA NA
USA 2020-02-19 15 0 Italy 2020-02-13 NA NA
USA 2020-02-20 15 0 Italy 2020-02-14 NA NA
USA 2020-02-21 35 0 Italy 2020-02-15 3 0
USA 2020-02-22 35 0 Italy 2020-02-16 3 0
USA 2020-02-23 35 0 Italy 2020-02-17 3 0
USA 2020-02-24 53 0 Italy 2020-02-18 3 0
USA 2020-02-25 57 0 Italy 2020-02-19 3 0
USA 2020-02-26 60 0 Italy 2020-02-20 4 0
USA 2020-02-27 60 0 Italy 2020-02-21 21 1
USA 2020-02-28 63 0 Italy 2020-02-22 79 2
USA 2020-02-29 68 1 Italy 2020-02-23 157 3
USA 2020-03-01 75 1 Italy 2020-02-24 229 7
USA 2020-03-02 100 6 Italy 2020-02-25 323 11
USA 2020-03-03 124 9 Italy 2020-02-26 470 12
USA 2020-03-04 158 11 Italy 2020-02-27 655 17
USA 2020-03-05 221 12 Italy 2020-02-28 889 21
USA 2020-03-06 319 15 Italy 2020-02-29 1128 29
USA 2020-03-07 435 19 Italy 2020-03-01 1701 41
USA 2020-03-08 541 22 Italy 2020-03-02 2036 52
USA 2020-03-09 704 26 Italy 2020-03-03 2502 79
USA 2020-03-10 994 30 Italy 2020-03-04 3089 107
USA 2020-03-11 1301 38 Italy 2020-03-05 3858 148
USA 2020-03-12 1630 41 Italy 2020-03-06 4636 197
USA 2020-03-13 2183 48 Italy 2020-03-07 5883 233
USA 2020-03-14 2770 57 Italy 2020-03-08 7375 366
USA 2020-03-15 3613 69 Italy 2020-03-09 9172 463
USA 2020-03-16 4596 87 Italy 2020-03-10 10149 631
USA 2020-03-17 6344 110 Italy 2020-03-11 12462 827
USA 2020-03-18 9197 150 Italy 2020-03-12 15113 1016
USA 2020-03-19 13779 206 Italy 2020-03-13 17660 1266
USA 2020-03-20 19367 255 Italy 2020-03-14 21157 1441
USA 2020-03-21 24192 301 Italy 2020-03-15 24747 1809
USA 2020-03-22 33592 414 Italy 2020-03-16 27980 2158
USA 2020-03-23 43781 555 Italy 2020-03-17 31506 2503
USA 2020-03-24 54856 780 Italy 2020-03-18 35713 2978
USA 2020-03-25 68211 1027 Italy 2020-03-19 41035 3405
USA 2020-03-26 NA NA Italy 2020-03-20 47021 4032
USA 2020-03-27 NA NA Italy 2020-03-21 53578 4825
USA 2020-03-28 NA NA Italy 2020-03-22 59138 5476
USA 2020-03-29 NA NA Italy 2020-03-23 63927 6077
USA 2020-03-30 NA NA Italy 2020-03-24 69176 6820
USA 2020-03-31 NA NA Italy 2020-03-25 74386 7503
